	time	status	temp	x
	1764.00	1.00	170.00	2.26
	2772.00	1.00	170.00	2.26
	3444.00	1.00	170.00	2.26
	3542.00	1.00	170.00	2.26
	3780.00	1.00	170.00	2.26
	4860.00	1.00	170.00	2.26
	5196.00	1.00	170.00	2.26
	5448.00	0.00	170.00	2.26
	5448.00	0.00	170.00	2.26
	5448.00	0.00	170.00	2.26
	408.00	1.00	190.00	2.16
	408.00	1.00	190.00	2.16
	1344.00	1.00	190.00	2.16
	1344.00	1.00	190.00	2.16
	1440.00	1.00	190.00	2.16
	1680.00	0.00	190.00	2.16
	1680.00	0.00	190.00	2.16
	1680.00	0.00	190.00	2.16
	1680.00	0.00	190.00	2.16
	1680.00	0.00	190.00	2.16
	408.00	1.00	220.00	2.03
	408.00	1.00	220.00	2.03
	504.00	1.00	220.00	2.03
	504.00	1.00	220.00	2.03
	504.00	1.00	220.00	2.03
	528.00	0.00	220.00	2.03
	528.00	0.00	220.00	2.03
	528.00	0.00	220.00	2.03
	528.00	0.00	220.00	2.03
	528.00	0.00	220.00	2.03
